date,day,weather,condition,climate,random1,random2,random3
2018-01-22, 金, 雲, bad, 24.301, トンカツ, サッカー, ダンベルカール
2018-01-23, 土, 雷雨, bad, 0.661, ハンバーガー, ラクロス, デッドリフト
2018-01-24, 日, 雨, exhausted, 11.373, トンカツ, バレーボール, 腹筋
2018-01-25, 月, 晴, good, -4.679, 牛丼, バレーボール, ダンベルカール
2018-01-26, 火, 雨, tired, 10.236, 天丼, 野球, ダンベルカール
2018-01-27, 水, 雨, good, 1.649, トンカツ, ラグビー, 背筋
2018-01-28, 木, 晴, soso, -8.434, ハンバーガー, ラクロス, プルダウン
2018-01-29, 金, 雲, bad, 3.636, トンカツ, ラクロス, 腹筋
2018-01-30, 土, 雲, tired, -6.730, 天丼, 野球, ダンベルカール
2018-01-31, 日, 晴, awesome, 25.870, ハンバーガー, スキー, プルダウン
2018-02-01, 月, 雨, good, 14.547, ハンバーガー, テニス, アームカール
2018-02-02, 火, 晴, good, -2.483, トンカツ, ラクロス, 背筋
2018-02-03, 水, 晴, awesome, -3.305, 牛丼, サッカー, ラットプルダウン
2018-02-04, 木, 晴, awesome, 26.431, とん丼, バスケ, デッドリフト
2018-02-05, 金, 雨, exhausted, 9.080, ハンバーガー, バレーボール, ラットプルダウン
2018-02-06, 土, 雨, good, -8.909, 天丼, 野球, アームカール
2018-02-07, 日, 雷雨, soso, 5.942, ハンバーガー, 野球, デッドリフト
2018-02-08, 月, 雷雨, good, 0.003, トンカツ, ラグビー, ラットプルダウン
2018-02-09, 火, 雨, soso, -2.671, 牛丼, バスケ, 背筋
2018-02-10, 水, 雲, soso, -6.745, 天丼, テニス, プルダウン
2018-02-11, 木, 雷雨, good, 16.080, ししゃも, 野球, 背筋
2018-02-12, 金, 雷雨, soso, -8.358, 牛丼, 野球, プルダウン
2018-02-13, 土, 雨, bad, 3.373, トンカツ, テニス, 背筋
2018-02-14, 日, 雲, good, 22.331, とん丼, テニス, ダンベルカール
2018-02-15, 月, 晴, exhausted, -6.995, ししゃも, スキー, ダンベルカール
2018-02-16, 火, 雨, awesome, 8.753, 牛丼, テニス, デッドリフト
2018-02-17, 水, 雨, good, 10.371, ししゃも, サッカー, 背筋
2018-02-18, 木, 雲, bad, 22.862, 天丼, バスケ, 腹筋
2018-02-19, 金, 雨, bad, 25.750, 牛丼, スキー, プルダウン
2018-02-20, 土, 雨, tired, 22.154, トンカツ, バレーボール, 背筋
2018-02-21, 日, 雨, awesome, 11.500, ハンバーガー, バレーボール, ダンベルカール
2018-02-22, 月, 晴, exhausted, 28.535, とん丼, バスケ, デッドリフト
2018-02-23, 火, 雷雨, tired, 8.132, とん丼, 野球, 背筋
2018-02-24, 水, 雨, awesome, -9.024, ししゃも, ラクロス, デッドリフト
2018-02-25, 木, 晴, good, 17.668, トンカツ, サッカー, デッドリフト
2018-02-26, 金, 雲, bad, 0.365, 天丼, ラクロス, デッドリフト
2018-02-27, 土, 雷雨, bad, 14.498, 牛丼, ラグビー, 腹筋
2018-02-28, 日, 雲, tired, 2.690, ししゃも, ラグビー, ラットプルダウン
2018-03-01, 月, 雲, bad, 2.519, ししゃも, ラグビー, 背筋
2018-03-02, 火, 雷雨, soso, 12.416, ししゃも, バスケ, ラットプルダウン
2018-03-03, 水, 雲, good, 26.864, トンカツ, 野球, 背筋
2018-03-04, 木, 雲, soso, 1.949, 天丼, 野球, 背筋
2018-03-05, 金, 雷雨, tired, -6.601, ハンバーガー, ラクロス, 背筋
2018-03-06, 土, 雲, soso, 7.070, トンカツ, スキー, アームカール
2018-03-07, 日, 雷雨, exhausted, 15.479, とん丼, サッカー, デッドリフト
2018-03-08, 月, 晴, tired, 29.249, 天丼, テニス, ダンベルカール
2018-03-09, 火, 晴, bad, 28.769, トンカツ, テニス, アームカール
2018-03-10, 水, 雲, awesome, 27.600, とん丼, ラクロス, 背筋
2018-03-11, 木, 雨, awesome, -4.947, とん丼, バレーボール, 腹筋
2018-03-12, 金, 雷雨, tired, 11.362, ハンバーガー, バスケ, ダンベルカール
2018-03-13, 土, 雲, awesome, 19.983, ハンバーガー, バレーボール, デッドリフト
2018-03-14, 日, 雷雨, tired, -9.159, ししゃも, バレーボール, プルダウン
2018-03-15, 月, 雨, bad, -3.086, 牛丼, バレーボール, ダンベルカール
2018-03-16, 火, 雨, tired, 20.297, ししゃも, ラグビー, プルダウン
2018-03-17, 水, 雲, tired, 4.278, とん丼, テニス, プルダウン
2018-03-18, 木, 雲, tired, 25.157, 牛丼, バスケ, プルダウン
2018-03-19, 金, 晴, good, -5.277, ししゃも, スキー, デッドリフト
2018-03-20, 土, 雨, exhausted, 20.443, ししゃも, サッカー, 腹筋
2018-03-21, 日, 雨, tired, 22.219, とん丼, 野球, プルダウン
2018-03-22, 月, 雨, good, -5.044, ししゃも, ラグビー, ダンベルカール
2018-03-23, 火, 雨, tired, 5.976, ししゃも, ラグビー, 腹筋
2018-03-24, 水, 雷雨, awesome, -1.843, ハンバーガー, バスケ, ラットプルダウン
2018-03-25, 木, 雲, awesome, 14.033, トンカツ, ラクロス, ラットプルダウン
2018-03-26, 金, 雨, exhausted, -3.187, トンカツ, バレーボール, ダンベルカール
2018-03-27, 土, 晴, exhausted, 5.567, とん丼, ラクロス, ダンベルカール
2018-03-28, 日, 晴, awesome, 29.505, 牛丼, バスケ, ラットプルダウン
2018-03-29, 月, 晴, awesome, 18.851, 牛丼, ラクロス, プルダウン
2018-03-30, 火, 雨, bad, 20.700, トンカツ, スキー, ダンベルカール
2018-03-31, 水, 雨, exhausted, 6.446, ししゃも, バスケ, 背筋
2018-04-01, 木, 雷雨, soso, 9.382, とん丼, スキー, ダンベルカール
2018-04-02, 金, 晴, exhausted, 13.625, ハンバーガー, 野球, 腹筋
2018-04-03, 土, 雷雨, good, -3.434, ししゃも, サッカー, ラットプルダウン
2018-04-04, 日, 晴, awesome, 15.439, 天丼, バスケ, 背筋
2018-04-05, 月, 雲, bad, 25.441, 天丼, テニス, 腹筋
2018-04-06, 火, 雨, awesome, 10.461, ししゃも, スキー, 背筋
2018-04-07, 水, 雨, exhausted, 19.403, トンカツ, バスケ, ダンベルカール
2018-04-08, 木, 雲, awesome, 12.442, 牛丼, ラグビー, プルダウン
2018-04-09, 金, 雨, tired, 3.186, 牛丼, バスケ, デッドリフト
2018-04-10, 土, 雲, exhausted, -8.779, トンカツ, ラクロス, ダンベルカール
2018-04-11, 日, 雷雨, bad, 21.416, 牛丼, テニス, ラットプルダウン
2018-04-12, 月, 雲, tired, 7.743, ししゃも, サッカー, デッドリフト
2018-04-13, 火, 雨, awesome, 11.064, 牛丼, サッカー, ラットプルダウン
2018-04-14, 水, 雷雨, soso, 2.390, とん丼, バレーボール, 腹筋
2018-04-15, 木, 雲, exhausted, 17.256, ハンバーガー, テニス, 背筋
2018-04-16, 金, 雷雨, soso, 9.694, ハンバーガー, サッカー, 腹筋
2018-04-17, 土, 晴, tired, -9.069, 牛丼, スキー, アームカール
2018-04-18, 日, 雷雨, soso, 16.517, 天丼, テニス, デッドリフト
2018-04-19, 月, 雲, good, -1.117, 牛丼, ラグビー, アームカール
2018-04-20, 火, 雷雨, bad, 28.938, 牛丼, バスケ, アームカール
2018-04-21, 水, 雷雨, bad, 8.068, 天丼, 野球, アームカール
2018-04-22, 木, 晴, bad, 29.776, ハンバーガー, スキー, プルダウン
2018-04-23, 金, 晴, awesome, 2.783, とん丼, バスケ, 背筋
2018-04-24, 土, 雷雨, bad, 25.201, ししゃも, サッカー, プルダウン
2018-04-25, 日, 晴, good, 5.491, ししゃも, スキー, デッドリフト
2018-04-26, 月, 雷雨, soso, -4.801, とん丼, バスケ, 腹筋
2018-04-27, 火, 晴, tired, -7.566, 牛丼, スキー, ダンベルカール
2018-04-28, 水, 晴, awesome, -6.358, ハンバーガー, ラグビー, ラットプルダウン
2018-04-29, 木, 雲, exhausted, 1.171, 牛丼, ラグビー, アームカール
2018-04-30, 金, 雨, exhausted, 0.719, 天丼, バレーボール, 背筋
2018-05-01, 土, 晴, tired, 27.407, トンカツ, サッカー, ダンベルカール
2018-05-02, 日, 雷雨, tired, 17.922, ししゃも, スキー, ダンベルカール
2018-05-03, 月, 雷雨, tired, -2.025, トンカツ, ラクロス, ラットプルダウン
2018-05-04, 火, 晴, exhausted, 0.684, トンカツ, テニス, ダンベルカール
2018-05-05, 水, 雲, good, -3.960, 牛丼, ラクロス, プルダウン
2018-05-06, 木, 晴, good, 15.485, トンカツ, ラグビー, デッドリフト
2018-05-07, 金, 雨, good, 29.387, ハンバーガー, サッカー, デッドリフト
2018-05-08, 土, 晴, awesome, 16.570, とん丼, ラグビー, 腹筋
2018-05-09, 日, 雨, good, 0.000, 天丼, テニス, ダンベルカール
2018-05-10, 月, 晴, awesome, -7.673, 天丼, 野球, ラットプルダウン
2018-05-11, 火, 雲, soso, 21.783, ハンバーガー, バスケ, 腹筋
2018-05-12, 水, 雷雨, bad, 10.110, 牛丼, 野球, ダンベルカール
2018-05-13, 木, 雷雨, tired, 9.246, 牛丼, ラグビー, デッドリフト
2018-05-14, 金, 晴, soso, 19.727, 牛丼, 野球, アームカール
2018-05-15, 土, 雨, good, 6.380, 牛丼, テニス, 腹筋
2018-05-16, 日, 雨, exhausted, 11.347, とん丼, バスケ, ダンベルカール
2018-05-17, 月, 雨, soso, 3.012, ししゃも, スキー, デッドリフト
2018-05-18, 火, 晴, bad, 2.684, ししゃも, 野球, プルダウン
2018-05-19, 水, 雨, tired, -7.246, 天丼, ラグビー, アームカール
2018-05-20, 木, 雨, exhausted, 28.790, ハンバーガー, スキー, 背筋
2018-05-21, 金, 晴, tired, 9.687, 天丼, バレーボール, ラットプルダウン
2018-05-22, 土, 雨, soso, 29.624, ししゃも, 野球, アームカール
2018-05-23, 日, 雨, awesome, 13.930, 天丼, サッカー, 腹筋
2018-05-24, 月, 雲, soso, 17.490, トンカツ, サッカー, 腹筋
2018-05-25, 火, 雲, awesome, 27.568, トンカツ, スキー, プルダウン
2018-05-26, 水, 晴, tired, 17.253, ししゃも, テニス, 背筋
2018-05-27, 木, 雨, good, 15.286, トンカツ, テニス, プルダウン
2018-05-28, 金, 晴, bad, 15.730, 牛丼, ラクロス, 腹筋
2018-05-29, 土, 雨, awesome, 18.411, 天丼, バレーボール, 背筋
2018-05-30, 日, 雷雨, bad, 7.018, ししゃも, 野球, デッドリフト
2018-05-31, 月, 雲, awesome, 19.033, 天丼, ラクロス, 背筋
2018-06-01, 火, 晴, exhausted, 11.280, とん丼, ラグビー, 腹筋
2018-06-02, 水, 雷雨, tired, 25.308, トンカツ, ラクロス, 腹筋
2018-06-03, 木, 雨, awesome, -9.744, 天丼, スキー, デッドリフト
2018-06-04, 金, 晴, soso, 10.500, ししゃも, 野球, プルダウン
2018-06-05, 土, 雨, tired, 6.457, トンカツ, ラクロス, デッドリフト
2018-06-06, 日, 雨, awesome, 2.076, トンカツ, ラグビー, デッドリフト
2018-06-07, 月, 雲, tired, 20.900, 牛丼, バスケ, ラットプルダウン
2018-06-08, 火, 晴, awesome, 19.445, トンカツ, スキー, ダンベルカール
2018-06-09, 水, 雷雨, awesome, 1.262, ししゃも, スキー, 腹筋
2018-06-10, 木, 晴, good, 5.337, とん丼, バスケ, プルダウン
2018-06-11, 金, 雨, exhausted, 19.975, とん丼, 野球, アームカール
2018-06-12, 土, 雷雨, good, 9.349, 牛丼, ラクロス, 背筋
2018-06-13, 日, 晴, bad, 22.562, 天丼, サッカー, デッドリフト
2018-06-14, 月, 雨, awesome, 0.317, トンカツ, バスケ, ラットプルダウン
2018-06-15, 火, 雷雨, exhausted, 0.947, 天丼, ラグビー, 背筋
2018-06-16, 水, 雷雨, awesome, 18.647, ハンバーガー, テニス, 背筋
2018-06-17, 木, 雲, bad, -0.831, ハンバーガー, テニス, ダンベルカール
2018-06-18, 金, 雲, awesome, 20.988, ハンバーガー, ラクロス, ラットプルダウン
2018-06-19, 土, 雲, good, -6.434, トンカツ, スキー, デッドリフト
2018-06-20, 日, 雲, tired, 6.875, ハンバーガー, テニス, ラットプルダウン
2018-06-21, 月, 雷雨, exhausted, 19.645, 天丼, バスケ, 背筋
2018-06-22, 火, 雷雨, exhausted, 24.314, 牛丼, テニス, プルダウン
2018-06-23, 水, 雷雨, good, 16.748, 天丼, ラグビー, アームカール
2018-06-24, 木, 晴, tired, 24.155, ハンバーガー, サッカー, アームカール
2018-06-25, 金, 雲, bad, 10.830, とん丼, バスケ, プルダウン
2018-06-26, 土, 雷雨, exhausted, 25.800, トンカツ, バレーボール, プルダウン
2018-06-27, 日, 雨, awesome, -5.886, ししゃも, 野球, ラットプルダウン
2018-06-28, 月, 雨, good, 11.621, とん丼, バスケ, プルダウン
2018-06-29, 火, 晴, bad, 10.321, 天丼, バレーボール, アームカール
2018-06-30, 水, 雲, bad, 0.253, とん丼, スキー, デッドリフト
2018-07-01, 木, 雲, awesome, 0.806, とん丼, バスケ, ダンベルカール
2018-07-02, 金, 雷雨, bad, 9.950, トンカツ, ラグビー, 背筋
2018-07-03, 土, 雨, bad, 14.229, 牛丼, ラグビー, デッドリフト
2018-07-04, 日, 雲, good, 10.158, トンカツ, サッカー, ラットプルダウン
2018-07-05, 月, 雲, soso, 14.902, とん丼, 野球, 腹筋
2018-07-06, 火, 雲, bad, 17.934, 牛丼, テニス, ラットプルダウン
2018-07-07, 水, 晴, tired, -3.117, ハンバーガー, バレーボール, デッドリフト
2018-07-08, 木, 雲, tired, 12.703, 天丼, ラクロス, ダンベルカール
2018-07-09, 金, 晴, good, 22.869, トンカツ, バレーボール, 腹筋
2018-07-10, 土, 雲, soso, 17.228, 天丼, バスケ, デッドリフト
2018-07-11, 日, 雷雨, good, -5.134, 天丼, サッカー, 腹筋
2018-07-12, 月, 雨, bad, 17.248, ハンバーガー, 野球, 腹筋
2018-07-13, 火, 晴, exhausted, 29.951, 天丼, 野球, 背筋
2018-07-14, 水, 雨, tired, -8.009, ハンバーガー, テニス, 背筋
2018-07-15, 木, 雷雨, soso, 27.348, ししゃも, バレーボール, 腹筋
2018-07-16, 金, 雨, soso, -9.681, 天丼, テニス, ダンベルカール
2018-07-17, 土, 雲, tired, 27.089, 天丼, ラクロス, 腹筋
2018-07-18, 日, 雷雨, tired, 6.749, とん丼, バスケ, 背筋
2018-07-19, 月, 雨, tired, -4.675, トンカツ, テニス, 背筋
2018-07-20, 火, 雲, bad, 25.889, 天丼, スキー, ダンベルカール
2018-07-21, 水, 雨, tired, 0.470, 牛丼, ラクロス, ラットプルダウン
2018-07-22, 木, 晴, exhausted, 4.939, ししゃも, 野球, デッドリフト
2018-07-23, 金, 晴, tired, 2.325, ししゃも, サッカー, 背筋
2018-07-24, 土, 晴, tired, -4.323, 牛丼, ラグビー, プルダウン
2018-07-25, 日, 雨, soso, 25.544, 牛丼, サッカー, プルダウン
2018-07-26, 月, 雷雨, awesome, 6.226, トンカツ, サッカー, ダンベルカール
2018-07-27, 火, 雨, exhausted, 17.478, ししゃも, スキー, デッドリフト
2018-07-28, 水, 晴, exhausted, -4.697, ししゃも, テニス, アームカール
2018-07-29, 木, 晴, awesome, 13.942, とん丼, バスケ, ダンベルカール
2018-07-30, 金, 雷雨, awesome, 14.231, ハンバーガー, テニス, アームカール
2018-07-31, 土, 晴, exhausted, 18.165, ハンバーガー, スキー, プルダウン
2018-08-01, 日, 晴, tired, -4.417, トンカツ, 野球, デッドリフト
2018-08-02, 月, 雨, tired, 26.360, ししゃも, 野球, プルダウン
2018-08-03, 火, 雷雨, exhausted, -0.193, トンカツ, バレーボール, 腹筋
2018-08-04, 水, 雨, bad, -5.344, ハンバーガー, 野球, アームカール
2018-08-05, 木, 雨, soso, 16.302, ハンバーガー, ラクロス, アームカール
2018-08-06, 金, 雷雨, soso, 1.757, 天丼, ラグビー, プルダウン
2018-08-07, 土, 雲, exhausted, 14.386, 牛丼, スキー, ダンベルカール
2018-08-08, 日, 晴, tired, -3.112, ししゃも, ラグビー, ダンベルカール
2018-08-09, 月, 晴, tired, -9.133, 牛丼, ラクロス, ラットプルダウン
2018-08-10, 火, 雲, awesome, 18.664, ハンバーガー, バレーボール, ダンベルカール
2018-08-11, 水, 雨, exhausted, -0.193, ししゃも, ラグビー, ラットプルダウン
2018-08-12, 木, 雷雨, soso, 9.705, ししゃも, バレーボール, アームカール
2018-08-13, 金, 雷雨, awesome, 11.681, トンカツ, ラグビー, ダンベルカール
2018-08-14, 土, 雲, bad, -9.522, とん丼, テニス, プルダウン
2018-08-15, 日, 晴, exhausted, -7.017, 牛丼, ラグビー, プルダウン
2018-08-16, 月, 雷雨, exhausted, 10.082, 天丼, サッカー, 背筋
2018-08-17, 火, 晴, soso, -9.249, とん丼, バレーボール, デッドリフト
2018-08-18, 水, 雷雨, good, 11.765, 牛丼, ラクロス, 背筋
2018-08-19, 木, 雲, soso, 16.496, ハンバーガー, サッカー, 背筋
2018-08-20, 金, 雷雨, tired, -9.137, 牛丼, ラクロス, 背筋
2018-08-21, 土, 晴, tired, 18.985, ししゃも, テニス, 背筋
2018-08-22, 日, 雷雨, awesome, -5.236, ししゃも, スキー, アームカール
2018-08-23, 月, 晴, tired, -6.216, とん丼, スキー, デッドリフト
2018-08-24, 火, 雲, good, -9.166, 天丼, ラグビー, ダンベルカール
2018-08-25, 水, 雷雨, bad, 13.799, トンカツ, 野球, プルダウン
2018-08-26, 木, 雷雨, tired, 22.122, トンカツ, サッカー, ラットプルダウン
2018-08-27, 金, 雷雨, exhausted, 5.564, 牛丼, ラグビー, プルダウン
2018-08-28, 土, 雨, soso, 27.127, 天丼, バスケ, プルダウン
2018-08-29, 日, 雲, exhausted, 14.882, ししゃも, 野球, ダンベルカール
2018-08-30, 月, 雲, soso, 0.200, 天丼, ラクロス, ダンベルカール
2018-08-31, 火, 雷雨, good, -4.039, 牛丼, バスケ, 背筋
2018-09-01, 水, 雲, good, 22.068, トンカツ, バレーボール, デッドリフト
2018-09-02, 木, 雷雨, exhausted, 24.877, トンカツ, サッカー, デッドリフト
2018-09-03, 金, 雷雨, awesome, 18.461, ハンバーガー, テニス, 背筋
2018-09-04, 土, 晴, good, 19.854, とん丼, ラクロス, ラットプルダウン
2018-09-05, 日, 雲, tired, 13.876, ししゃも, テニス, 背筋
2018-09-06, 月, 雷雨, bad, 1.427, ししゃも, ラクロス, ダンベルカール
2018-09-07, 火, 雲, bad, 1.914, 牛丼, 野球, アームカール
2018-09-08, 水, 雨, good, 10.571, 天丼, バレーボール, ラットプルダウン
2018-09-09, 木, 雷雨, good, 1.612, トンカツ, テニス, デッドリフト
2018-09-10, 金, 雨, awesome, 0.196, ハンバーガー, スキー, プルダウン
2018-09-11, 土, 雨, bad, 22.491, ししゃも, テニス, 腹筋
2018-09-12, 日, 雷雨, exhausted, 13.460, ししゃも, バレーボール, デッドリフト
2018-09-13, 月, 雷雨, good, 26.486, ししゃも, バレーボール, プルダウン
2018-09-14, 火, 雷雨, exhausted, 26.928, 牛丼, バスケ, ラットプルダウン
2018-09-15, 水, 晴, exhausted, -5.164, 牛丼, ラクロス, ラットプルダウン
2018-09-16, 木, 雷雨, tired, 14.543, 天丼, スキー, ラットプルダウン
2018-09-17, 金, 雲, exhausted, 16.824, トンカツ, バレーボール, プルダウン
2018-09-18, 土, 雷雨, soso, 20.756, とん丼, ラクロス, ダンベルカール
2018-09-19, 日, 雷雨, good, 16.771, 牛丼, サッカー, デッドリフト
2018-09-20, 月, 晴, awesome, 20.152, とん丼, バレーボール, アームカール
2018-09-21, 火, 雨, bad, -6.239, ししゃも, スキー, プルダウン
2018-09-22, 水, 雷雨, awesome, -2.448, 牛丼, バレーボール, プルダウン
2018-09-23, 木, 雷雨, tired, 4.422, 牛丼, 野球, ラットプルダウン
2018-09-24, 金, 晴, soso, 26.235, とん丼, スキー, プルダウン
2018-09-25, 土, 雲, bad, 24.152, 天丼, ラグビー, 腹筋
2018-09-26, 日, 晴, tired, 5.852, とん丼, バスケ, アームカール
2018-09-27, 月, 雨, soso, 8.825, ハンバーガー, ラグビー, 腹筋
2018-09-28, 火, 雷雨, soso, 13.547, 天丼, サッカー, デッドリフト
2018-09-29, 水, 雨, good, 24.601, 天丼, ラクロス, アームカール
2018-09-30, 木, 晴, tired, 13.269, ハンバーガー, スキー, 腹筋
2018-10-01, 金, 雨, soso, 27.315, トンカツ, スキー, ラットプルダウン
2018-10-02, 土, 雨, tired, -7.033, ししゃも, テニス, プルダウン
2018-10-03, 日, 雷雨, soso, 10.003, トンカツ, スキー, 背筋
2018-10-04, 月, 雨, soso, -1.443, トンカツ, サッカー, デッドリフト
2018-10-05, 火, 晴, awesome, 2.688, トンカツ, ラクロス, プルダウン
2018-10-06, 水, 雨, soso, 24.075, トンカツ, 野球, 腹筋
2018-10-07, 木, 晴, exhausted, -0.134, 天丼, ラクロス, デッドリフト
2018-10-08, 金, 雨, tired, 21.433, ハンバーガー, テニス, ラットプルダウン
2018-10-09, 土, 雲, soso, 6.552, 牛丼, バスケ, デッドリフト
2018-10-10, 日, 雨, bad, -1.577, 天丼, ラグビー, 腹筋
2018-10-11, 月, 雨, bad, 22.881, ハンバーガー, 野球, ダンベルカール
2018-10-12, 火, 雨, tired, -4.670, とん丼, 野球, プルダウン
2018-10-13, 水, 晴, good, 29.571, とん丼, サッカー, デッドリフト
2018-10-14, 木, 晴, exhausted, 13.534, ししゃも, ラクロス, 背筋
2018-10-15, 金, 雲, bad, -5.409, 牛丼, テニス, ラットプルダウン
2018-10-16, 土, 雨, awesome, -2.148, ハンバーガー, 野球, アームカール
2018-10-17, 日, 雨, tired, 18.929, 牛丼, スキー, 腹筋
2018-10-18, 月, 雷雨, good, -3.424, トンカツ, スキー, 腹筋
2018-10-19, 火, 雲, good, 10.972, 牛丼, スキー, デッドリフト
2018-10-20, 水, 雲, bad, 7.720, 牛丼, ラグビー, デッドリフト
2018-10-21, 木, 雨, soso, 5.679, ししゃも, テニス, 背筋
2018-10-22, 金, 雲, bad, 17.376, 天丼, ラクロス, デッドリフト
2018-10-23, 土, 雷雨, soso, -9.073, ハンバーガー, テニス, ラットプルダウン
2018-10-24, 日, 雷雨, exhausted, 13.288, 天丼, テニス, ラットプルダウン
2018-10-25, 月, 雷雨, bad, 18.065, とん丼, ラグビー, デッドリフト
2018-10-26, 火, 雷雨, tired, 8.847, 天丼, バスケ, デッドリフト
2018-10-27, 水, 雷雨, tired, 11.588, 天丼, バスケ, 腹筋
2018-10-28, 木, 晴, awesome, 8.301, 天丼, バレーボール, デッドリフト
2018-10-29, 金, 雷雨, bad, 17.980, 天丼, サッカー, アームカール
2018-10-30, 土, 雷雨, good, 15.678, 天丼, スキー, ダンベルカール
2018-10-31, 日, 晴, soso, 5.150, 天丼, 野球, ダンベルカール
2018-11-01, 月, 晴, bad, 18.663, 天丼, テニス, ラットプルダウン
2018-11-02, 火, 晴, bad, 21.242, 天丼, ラクロス, デッドリフト
2018-11-03, 水, 雨, bad, -8.912, ししゃも, サッカー, プルダウン
2018-11-04, 木, 雨, soso, 1.750, とん丼, ラグビー, プルダウン
2018-11-05, 金, 晴, bad, 6.308, 牛丼, スキー, デッドリフト
2018-11-06, 土, 雲, exhausted, -1.018, ししゃも, ラクロス, アームカール
2018-11-07, 日, 雲, tired, -3.921, 天丼, 野球, 腹筋
2018-11-08, 月, 雨, awesome, 9.916, ししゃも, サッカー, 腹筋
2018-11-09, 火, 雨, awesome, 12.156, トンカツ, ラグビー, ダンベルカール
2018-11-10, 水, 晴, tired, 15.833, トンカツ, バスケ, アームカール
2018-11-11, 木, 晴, soso, 20.090, ししゃも, ラグビー, 腹筋
2018-11-12, 金, 雲, tired, 19.916, ししゃも, バスケ, アームカール
2018-11-13, 土, 雨, bad, -7.832, トンカツ, サッカー, 背筋
2018-11-14, 日, 雨, good, 29.140, ハンバーガー, バレーボール, 腹筋
2018-11-15, 月, 晴, awesome, 19.269, ハンバーガー, テニス, 腹筋
2018-11-16, 火, 晴, good, 11.518, 天丼, スキー, デッドリフト
2018-11-17, 水, 晴, tired, -1.546, 牛丼, バスケ, ダンベルカール
2018-11-18, 木, 雨, bad, -2.693, とん丼, スキー, 背筋
2018-11-19, 金, 雷雨, good, 3.256, とん丼, テニス, 腹筋
2018-11-20, 土, 雲, tired, 15.606, 牛丼, バレーボール, 背筋
2018-11-21, 日, 雲, soso, 26.228, ハンバーガー, スキー, プルダウン
2018-11-22, 月, 雨, exhausted, -4.148, とん丼, サッカー, 背筋
